source,address,url,rent_eur,summary,beds,baths,furnished
property.ie,"Oldbridge Glen, Lucan, Co. Dublin, Lucan, Co. Dublin",https://www.property.ie/property-to-let/Oldbridge-Glen-Lucan-Co-Dublin-Lucan-Co-Dublin/6453178/,3500,"4 bedrooms (4 double), 2 bathrooms, unfurnished House to Rent",4,2,No
property.ie,"Apartment 62, Temple Gardens, Northwood, Dublin 9, Dublin 9",https://www.property.ie/property-to-let/Apartment-62-Temple-Gardens-Northwood-Dublin-9-Dublin-9/6451793/,2500,"2 bedrooms (2 double), 2 bathrooms, furnished or unfurnished Apartment to Rent",2,2,No
property.ie,"Muckross Avenue, Perrystown, Dublin 12",https://www.property.ie/property-to-let/Muckross-Avenue-Perrystown-Dublin-12/6453157/,1960,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"New Priory, Clongriffin, Dublin 13, Clongriffin, Dublin 13",https://www.property.ie/property-to-let/New-Priory-Clongriffin-Dublin-13-Clongriffin-Dublin-13/6453136/,2800,"2 bedrooms (2 double), 2 bathrooms, unfurnished Apartment to Rent",2,2,No
property.ie,"Red Arches Road, The Coast, Baldoyle, Dublin 13, Baldoyle, Dublin 13",https://www.property.ie/property-to-let/Red-Arches-Road-The-Coast-Baldoyle-Dublin-13-Baldoyle-Dublin-13/6453135/,2380,"3 bedrooms (3 double), 2 bathrooms, unfurnished House to Rent",3,2,No
property.ie,"30 Larkfield Way, Leopardstown, Dublin 18",https://www.property.ie/property-to-let/30-Larkfield-Way-Leopardstown-Dublin-18/24078006/,3931,"4 bedrooms, 4 bathrooms, unfurnished House to Rent",4,4,No
property.ie,"The Orchard, Cherryfield Avenue Upper, Milltown, Dublin 6",https://www.property.ie/property-to-let/The-Orchard-Cherryfield-Avenue-Upper-Milltown-Dublin-6/6453052/,7000,"4 bedrooms (4 double), 2 bathrooms, furnished House to Rent",4,2,Yes
property.ie,"Apt 408, The Cubes 1, Beacon South Quarter, D18 Ew90, Sandyford, Dublin 18",https://www.property.ie/property-to-let/Apt-408-The-Cubes-1-Beacon-South-Quarter-D18-Ew90-Sandyford-Dublin-18/6453078/,2500,"2 bedrooms (2 double), 2 bathrooms, furnished Apartment to Rent",2,2,Yes
property.ie,"Apt 5, Block 1, Parklands, D09cc9c, Santry, Dublin 9",https://www.property.ie/property-to-let/Apt-5-Block-1-Parklands-D09cc9c-Santry-Dublin-9/6453071/,1850,"1 bedroom (1 double), 2 bathrooms, furnished Apartment to Rent",1,2,Yes
property.ie,"Apt 12, Fernley Court, D08 CK09, Dublin 8",https://www.property.ie/property-to-let/Apt-12-Fernley-Court-D08-CK09-Dublin-8/6453069/,2550,"2 bedrooms (2 double), 2 bathrooms, furnished Apartment to Rent",2,2,Yes
property.ie,"Apt 159, Block C, Lymewood Mews, Northwood, D09 A308, Santry, Dublin 9",https://www.property.ie/property-to-let/Apt-159-Block-C-Lymewood-Mews-Northwood-D09-A308-Santry-Dublin-9/6453065/,2500,"2 bedrooms (2 double), 2 bathrooms, furnished Apartment to Rent",2,2,Yes
property.ie,"Apt 42, Block 3, Parklands, Northwood, D09 C671, Santry, Dublin 9",https://www.property.ie/property-to-let/Apt-42-Block-3-Parklands-Northwood-D09-C671-Santry-Dublin-9/6453063/,2500,"2 bedrooms (2 double), 2 bathrooms, furnished Apartment to Rent",2,2,Yes
property.ie,"Ballyneety Road, Ballyfermot, Dublin 10",https://www.property.ie/property-to-let/Ballyneety-Road-Ballyfermot-Dublin-10/6453007/,2008,"2 bedrooms (2 double), 2 bathrooms, furnished House to Rent",2,2,Yes
property.ie,"North Frederick Court, 9 Frederick Lane North, Dublin 1, Dublin 1",https://www.property.ie/property-to-let/North-Frederick-Court-9-Frederick-Lane-North-Dublin-1-Dublin-1/6452995/,3600,"3 bedrooms (3 double), 2 bathrooms, unfurnished Apartment to Rent",3,2,No
property.ie,"Walsh Road, Dublin 9, Drumcondra, Dublin 9",https://www.property.ie/property-to-let/Walsh-Road-Dublin-9-Drumcondra-Dublin-9/6452986/,1150,Studio (1 single) Studio apartment to Rent,1,1,Unknown
property.ie,"Flat 3, 179 Clonliffe Road, Ballybough, Dublin 3",https://www.property.ie/property-to-let/Flat-3-179-Clonliffe-Road-Ballybough-Dublin-3/6452982/,1695,Studio (1 single) Studio apartment to Rent,1,1,Unknown
property.ie,"Custom House Harbour, IFSC, Dublin 1",https://www.property.ie/property-to-let/Custom-House-Harbour-IFSC-Dublin-1/6452978/,2600,"2 bedrooms (2 double), 1 bathroom, furnished Apartment to Rent",2,1,Yes
property.ie,"Monalea Wood, Dublin 24, Firhouse, Dublin 24",https://www.property.ie/property-to-let/Monalea-Wood-Dublin-24-Firhouse-Dublin-24/6452845/,4950,"4 bedrooms (4 double), 4 bathrooms, furnished House to Rent",4,4,Yes
property.ie,"Apartment 716, Longboat Quay North Apartments, Grand Canal Dock, Dublin 2",https://www.property.ie/property-to-let/Apartment-716-Longboat-Quay-North-Apartments-Grand-Canal-Dock-Dublin-2/6452900/,3200,"2 bedrooms (2 double), 2 bathrooms, unfurnished Apartment to Rent",2,2,No
property.ie,"Kiltipper Gate, Tallaght, Dublin 24, Aylesbury, Dublin 24",https://www.property.ie/property-to-let/Kiltipper-Gate-Tallaght-Dublin-24-Aylesbury-Dublin-24/6452972/,2066,"2 bedrooms (2 double), 2 bathrooms, unfurnished Apartment to Rent",2,2,No
property.ie,"Apartment 3, 57 Bath Avenue, Sandymount, Dublin 4",https://www.property.ie/property-to-let/Apartment-3-57-Bath-Avenue-Sandymount-Dublin-4/6452950/,2300,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"Castleforbes Square,dublin 1, IFSC, Dublin 1",https://www.property.ie/property-to-let/Castleforbes-Squaredublin-1-IFSC-Dublin-1/6452934/,2600,"2 bedrooms (2 double), 2 bathrooms, furnished Apartment to Rent",2,2,Yes
property.ie,"Gardiner Street Upper, Dublin 1",https://www.property.ie/property-to-let/Gardiner-Street-Upper-Dublin-1/6452890/,1850,"1 bedroom (1 double), 1 bathroom, furnished Flat to Rent",1,1,Yes
property.ie,"64 Tolka Road, Dublin 3, Ballybough, Dublin 3",https://www.property.ie/property-to-let/64-Tolka-Road-Dublin-3-Ballybough-Dublin-3/6452886/,3600,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished House to Rent",1,1,Yes
property.ie,"Blessington Street, Dublin 7",https://www.property.ie/property-to-let/Blessington-Street-Dublin-7/6452902/,1700,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"Apartment 18, Milton Hall, Swords, Co. Dublin",https://www.property.ie/property-to-let/Apartment-18-Milton-Hall-Swords-Co-Dublin/6452849/,2500,"2 bedrooms (2 double), 1 bathroom, furnished Apartment to Rent",2,1,Yes
property.ie,"82 Cherrywood, Loughlinstown, Glenageary, Co. Dubl, Cherrywood, Co. Dublin",https://www.property.ie/property-to-let/82-Cherrywood-Loughlinstown-Glenageary-Co-Dubl-Cherrywood-Co-Dublin/6452679/,3000,"4 bedrooms (2 single, 2 double), 2 bathrooms, furnished House to Rent",2,2,Yes
