source,address,url,rent_eur,summary,beds,baths,furnished
daft.ie,"Shieling Square, Howth Road, Raheny, Dublin 5",https://www.daft.ie/for-rent/shieling-square-raheny-dublin-5-shieling-square-/5630831,1950,Luxury Seaside Apartments,1,1,Unknown
daft.ie,"The Oslo , Sandyford Central , Sandyford, Dublin 18",https://www.daft.ie/for-rent/the-oslo-sandyford-central-sandyford-dublin-18/5426425,2022,Contemporary Living Reimagined,1,1,Unknown
daft.ie,"Archway Court Student Accommodation, Mountjoy St, Dublin 1",https://www.daft.ie/for-rent/archway-court-student-accommodation-mountjoy-st-dublin-1/5382570,,Central Location,1,1,Unknown
daft.ie,"Occu Brookwood, St. Brigid's Road, Killester, Dublin 5",https://www.daft.ie/for-rent/occu-brookwood-st-brigids-road-killester-dublin-5/4505143,2147,Better Renting. That's Different,1,1,Unknown
daft.ie,"Marietta Woods, Castle Park Road, Dalkey, Co. Dublin",https://www.daft.ie/for-rent/marietta-woods-castle-park-road-dalkey-co-dublin/4551200,2047,Rent in Dalkey,1,1,Unknown
daft.ie,"Opus, 6 Hanover Quay, Grand Canal Dock, Dublin 2",https://www.daft.ie/for-rent/opus-6-hanover-quay-hanover-quay-dublin-2/1442724,3485,Landmark Residential Development,2,2,Unknown
daft.ie,"Mespil Estate, Sussex Road, Dublin 4",https://www.daft.ie/for-rent/mespil-estate-sussex-road-dublin-4/4514634,1945,Perfectly situated in the heart of Dublin City,1,1,Unknown
daft.ie,"Occu Adamstown, Adamstown, Adamstown, Co. Dublin",https://www.daft.ie/for-rent/occu-adamstown-adamstown-adamstown-co-dublin/4256738,1908,Better renting. That's different.,1,1,Unknown
daft.ie,"Occu Fairway, Dun Laoghaire, Fairway Drive, Dun Laoghaire, Co. Dublin",https://www.daft.ie/for-rent/occu-fairway-dun-laoghaire-fairway-drive-dun-laoghaire-co-dublin/3919408,2454,Better Renting. That's Different,2,2,Unknown
daft.ie,"Occu Strand View, Howth Road, Raheny, Dublin 5",https://www.daft.ie/for-rent/occu-strand-view-howth-road-raheny-dublin-5/3777734,2148,Better Renting. That's Different,1,1,Unknown
daft.ie,"Occu Verville, Vernon Avenue, Clontarf, Dublin 3",https://www.daft.ie/for-rent/occu-verville-vernon-avenue-clontarf-dublin-3/3753089,2023,Better Renting. That's Different,1,1,Unknown
daft.ie,"The Locks, Charlemont Square, Dublin 2, Charlemont Street, Dublin 2",https://www.daft.ie/for-rent/the-locks-charlemont-square-dublin-2-charlemont-street-dublin-2/3733190,5835,Luxurious Development,2,2,Unknown
daft.ie,"Number 1 Ballsbridge, Shelbourne Road, Dublin 4",https://www.daft.ie/for-rent/number-1-ballsbridge-shelbourne-road-dublin-4/2509695,4500,Outstanding living in Dublin's most prestigious urban quarter,2,3,Unknown
daft.ie,"Clancy Quay by Kennedy Wilson, South Circular Road, Dublin 8",https://www.daft.ie/for-rent/clancy-quay-by-kennedy-wilson-south-circular-road-dublin-8/2511232,2015,Luxury Apartment Living in Dublin 8.,1,1,Unknown
daft.ie,"Mount Argus Apartments, Mount Argus Road, Harold's Cross, Dublin 6W",https://www.daft.ie/for-rent/mount-argus-apartments-mount-argus-road-harolds-cross-dublin-6w/1442430,2865,Newest way to rent in Dublin,2,2,Unknown
daft.ie,"Hazelwood Student Village, North Wood Santry, Santry, Dublin 9",https://www.daft.ie/for-rent/hazelwood-student-village-north-wood-santry-santry-dublin-9/2626696,,Hazelwood Student Village,1,1,Unknown
daft.ie,"Alto Vetro, Grand Canal Square, Dublin 2",https://www.daft.ie/for-rent/alto-vetro-grand-canal-square-dublin-2/2316503,3170,A feat of architectural ingenuity ,2,2,Unknown
daft.ie,"3a Lad Lane, Dublin 2, Dublin 2",https://www.daft.ie/for-rent/apartment-3a-lad-lane-dublin-2-dublin-2/6340541,3300,,2,2,Unknown
daft.ie,"Bath Avenue, Sandymount, Dublin 4",https://www.daft.ie/for-rent/house-bath-avenue-sandymount-dublin-4/6341349,6878,,4,2,Unknown
daft.ie,"Ballsbridge Wood, Ballsbridge, Dublin 4",https://www.daft.ie/for-rent/house-ballsbridge-wood-ballsbridge-dublin-4/6292316,4750,,3,3,Unknown
daft.ie,"Apartment 8, Harcourt Mews, Camden Street Lower, D, Portobello, Dublin 8",https://www.daft.ie/for-rent/apartment-apartment-8-harcourt-mews-camden-street-lower-d-portobello-dublin-8/6339402,2900,,2,1,Unknown
daft.ie,"Apt 6,  Anglesea Road, Ballsbridge, Dublin 4",https://www.daft.ie/for-rent/apartment-apt-6-anglesea-road-ballsbridge-dublin-4/6335816,1925,,1,1,Unknown
daft.ie,"Wellington Lane, Dublin 4, Ballsbridge, Dublin 4",https://www.daft.ie/for-rent/house-wellington-lane-dublin-4-ballsbridge-dublin-4/6339266,4176,,3,2,Unknown
daft.ie,"Apartment, Richmond Hall, Milltown Avenue, Milltown, Dublin 6",https://www.daft.ie/for-rent/apartment-apartment-richmond-hall-milltown-avenue-milltown-dublin-6/6339247,3449,,2,2,Unknown
daft.ie,"Apartment 8 , Baltrasna House, IFSC, Dublin 1",https://www.daft.ie/for-rent/apartment-apartment-8-baltrasna-house-ifsc-dublin-1/6338587,2657,,2,1,Unknown
daft.ie,"Flat 1, 22 Herbert Place, Dublin 2, Dublin 2",https://www.daft.ie/for-rent/apartment-flat-1-22-herbert-place-dublin-2-dublin-2/6338357,2650,,1,1,Unknown
daft.ie,"82 Meath Street, Dublin 8, The Coombe, Dublin 8",https://www.daft.ie/for-rent/apartment-82-meath-street-dublin-8-the-coombe-dublin-8/6338048,1850,,1,1,Unknown
daft.ie,"Block D,Belfry Hall,Citywest,Co. Dublin, Citywest, Co. Dublin",https://www.daft.ie/for-rent/apartment-block-d-belfry-hall-citywest-co-dublin-citywest-co-dublin/6336299,1800,,2,2,Unknown
daft.ie,"1 Millstead, Dublin 15, Castleknock, Dublin 15",https://www.daft.ie/for-rent/house-1-millstead-dublin-15-castleknock-dublin-15/6330987,5000,,5,3,Unknown
daft.ie,"North Great George'S Street, Dublin 1",https://www.daft.ie/for-rent/apartment-north-great-georges-street-dublin-1/6333347,2200,,1,1,Unknown
daft.ie,"Furry Park Road, Clontarf East, Dublin 5, Clontarf, Dublin 3",https://www.daft.ie/for-rent/house-furry-park-road-clontarf-east-dublin-5-clontarf-dublin-3/6331801,3995,,3,2,Unknown
daft.ie,"SAINT VINCENT STREET WEST, INCHICORE, DUBLIN 8, Inchicore, Dublin 8",https://www.daft.ie/for-rent/apartment-saint-vincent-street-west-inchicore-dublin-8-inchicore-dublin-8/6332345,1545,,1,1,Unknown
daft.ie,"Apartment 133, Block 4, Gracepark Manor, Drumcondra, Dublin 9",https://www.daft.ie/for-rent/apartment-apartment-133-block-4-gracepark-manor-drumcondra-dublin-9/6331773,2800,,2,2,Unknown
daft.ie,"61 Francis street , Dublin 8",https://www.daft.ie/for-rent/apartment-61-francis-street-dublin-8/6297671,3200,,2,1,Unknown
daft.ie,"Merrion Park, Blackrock, Co. Dublin, Booterstown, Co. Dublin",https://www.daft.ie/for-rent/house-merrion-park-blackrock-co-dublin-booterstown-co-dublin/6324848,4450,,3,3,Unknown
daft.ie,"Mountpleasant - Grand Canal, Rathmines, Dublin 6",https://www.daft.ie/for-rent/apartment-mountpleasant-grand-canal-rathmines-dublin-6/6328557,1750,,1,1,Unknown
daft.ie,"Daneswell Place, Botanic Road, Glasnevin, Dublin 9, Drumcondra, Dublin 9",https://www.daft.ie/for-rent/apartment-daneswell-place-botanic-road-glasnevin-dublin-9-drumcondra-dublin-9/6261821,2300,,1,1,Unknown
daft.ie,"155 strand road, Sandymount, Dublin 4",https://www.daft.ie/for-rent/studio-apartment-155-strand-road-sandymount-dublin-4/6323068,1875,,1,1,Unknown
daft.ie,"20 Seafort Parade, Blackrock, Booterstown, Co. Dublin",https://www.daft.ie/for-rent/house-20-seafort-parade-blackrock-booterstown-co-dublin/6290748,4080,,3,2,Unknown
daft.ie,"Majestic Victorian Terrace & Mews, Dartmouth Square, Ranelagh, Dublin 6",https://www.daft.ie/for-rent/house-majestic-victorian-terrace-mews-dartmouth-square-ranelagh-dublin-6/6327337,12000,,5,3,Unknown
daft.ie,"18 Fitzwilliam Place, Dublin 2",https://www.daft.ie/for-rent/apartment-18-fitzwilliam-place-dublin-2/6314630,3500,,2,3,Unknown
daft.ie,"Apartment 4, 13 Northumberland Road, Ballsbridge, Dublin 4",https://www.daft.ie/for-rent/apartment-apartment-4-13-northumberland-road-ballsbridge-dublin-4/6327330,2250,,1,1,Unknown
daft.ie,"Apartment 44, Traders Wharf, Dublin 8",https://www.daft.ie/for-rent/apartment-apartment-44-traders-wharf-dublin-8/6327110,2032,,1,1,Unknown
